,object_appearance_quality_annotator_1,object_visibility_annotator_1,id,text,dataset,vael,linguistic_cue_annotator_1,completely_missing_type_annotator_1,other_ta2_annotator_1,other_ta1_annotator_1,object_visibility_annotator_2,linguistic_cue_annotator_2,other_ta2_annotator_2,object_appearance_quality_annotator_2,completely_missing_type_annotator_2,other_ta1_annotator_2
14,"['option1', 'option3']",['option2'],concap/train/0000596889,a copy of the giraffe down below that i drew,concap/train,giraffe,,,,,['option1'],,,['option3'],,
15,,['option3'],concap/train/0000614847,"the kitchen in this home decorated by person , painted in a white , features shades in a fabric .",concap/train,person,"['option9', 'option4']",,,,['option3'],"['option9', 'option4']",,,['option1'],
16,,['option3'],concap/train/0000663482,oven baked and made with simple ingredients .,concap/train,oven,['option9'],,,,['option3'],['option3'],,,['option1'],
17,,['option3'],concap/train/0000682936,olympic athlete competes during the fis alpine ski world cup men 's slalom,concap/train,cup,"['option3', 'option4', 'option6', 'option7']",,,,['option3'],"['option4', 'option6']",,,,
18,,['option3'],concap/train/0000691399,person as the part of modern interior design .,concap/train,person,['option5'],['option1'],['substitution'],,['option3'],,,,['option1'],
19,"['option1', 'option2', 'option3']",['option1'],concap/train/0000715514,"as a helicopter hovers above , the spacecraft with parachute open descends with person aboard .",concap/train,person,['option4'],,,,['option4'],,,,,
20,,['option1'],concap/train/0000734350,the mouse in a mousetrap,concap/train,mouse,,,,,['option1'],,,['option3'],,
21,,['option3'],concap/train/0000760929,some of you have to get in on this : person,concap/train,person,"['option9', 'option5']",,['substitution'],,['option3'],['option9'],,,,
22,"['option2', 'option3']",['option1'],concap/train/0000822975,food in the oven dessert table,concap/train,oven,"['option2', 'option3']",,,,['option1'],,,['option3'],,
23,"['option1', 'option2']",['option2'],concap/train/0000926073,logo on the bonnet of a blue car in the rain,concap/train,car,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
24,,['option3'],concap/train/0000938028,they took the logo and turned the clock back for the upcoming move .,concap/train,clock,"['option9', 'option2']",,,,['option3'],"['option9', 'option2']",,,,
25,,['option3'],concap/train/0000939907,modern bedroom featuring person and dresser set,concap/train,person,"['option9', 'option5']",,['substitution'],,['option2'],,,['option2'],,
26,,['option3'],concap/train/0000970062,number in a train station,concap/train,train,"['option3', 'option4']",,,,['option3'],"['option3', 'option4']",,,['option1'],
27,,['option3'],concap/train/0000990501,horse racing has been held at the famous course and tradition is a hallmark of the meeting .,concap/train,horse,"['option9', 'option3']",,,,['option3'],"['option9', 'option3']",,,,
28,,['option3'],concap/train/0000998611,"actor , best known for playing comic book character in the classic series died in june at 88",concap/train,book,['option3'],,,,['option3'],"['option1', 'option9', 'option3']",,,,
29,,['option3'],concap/train/0001035294,smiling family using a laptop together in bed,concap/train,bed,"['option9', 'option4']",,,,['option2'],['option4'],,['option1'],,
30,"['option2', 'option3']",['option1'],concap/train/0001151459,here 's proof that we actually bought and ate a fruit cake .,concap/train,cake,['option3'],,,,['option1'],"['option1', 'option9', 'option3']",,['option3'],,
31,['option3'],['option1'],concap/train/0001201668,"still shot of a woman 's hands typing on a laptop keyboard , with a cup of hot coffee near",concap/train,keyboard,,,,,['option1'],"['option3', 'option4']",,,,
32,,['option3'],concap/train/0001225148,where person used to tether his cow .,concap/train,cow,"['option1', 'option9', 'option4']",,,,['option3'],"['option1', 'option9']",,,,
33,"['option1', 'option3']",['option1'],concap/train/0001247447,"tractor , apples and an apple mil on an organic farm",concap/train,apple,['option3'],,,,['option1'],,,['option3'],,
34,['option3'],['option1'],concap/train/0001273840,here are some seriously cute pencil shaving illustrations by person .,concap/train,person,"['option4', 'option5']",,['substitution'],,['option1'],"['option9', 'option4']",,['option3'],,
35,,['option1'],concap/train/0001311050,blood of my enemies wine glass !,concap/train,wine glass,,,,,['option1'],,,['option3'],,
36,"['option1', 'option3']",['option1'],concap/train/0001409050,young man in jacket operating a drone using a remote controller,concap/train,remote,['option3'],,,,['option1'],['option3'],,['option3'],,
37,"['option2', 'option3']",['option1'],concap/train/0001464972,the shadow of an airplane approaching the runway,concap/train,airplane,,,,,['option1'],,,['option3'],,
38,,['option3'],concap/train/0001473119,legs of a man with a musical suitcase goes over the railway,concap/train,suitcase,['option9'],,,,['option3'],,,,,
39,['option1'],['option2'],concap/train/0001478486,wet horse outside in a snowstorm,concap/train,horse,,,,,['option2'],,,"['option1', 'option3']",,
40,"['option1', 'option3']",['option1'],concap/train/0001526864,a cat hugging a dog in the street .,concap/train,dog,,,,,['option1'],,,,,
41,,['option1'],concap/train/0001534563,organisation founder hands a baseball bat to politician as politician looks on during an event celebrating the champions,concap/train,baseball bat,,,,,['option1'],,,,,
42,,['option3'],concap/train/0001652994,tractors and trucks get in gear to catch the bus,concap/train,bus,"['option9', 'option2']","['option1', 'option2']",,,['option3'],['option9'],,,['option2'],
43,,['option1'],concap/train/0001690420,female nails with red nail polish and a beautiful black handbag,concap/train,handbag,,,,,['option1'],,,,,
44,"['option1', 'option2']",['option2'],concap/train/0001729399,"a young male sitting in the chair , looking into the distance and thinking about something .",concap/train,chair,"['option9', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
45,,['option3'],concap/train/0001775839,"a cute white , western , blonde , baby boy lays under a blue blanket with teddy bear .",concap/train,teddy bear,"['option9', 'option4']",['option1'],,,['option3'],['option9'],,,['option1'],
46,,['option3'],concap/train/0001830355,little girls make up a tune together on a piano keyboard,concap/train,keyboard,['option6'],,,,['option3'],"['option4', 'option6']",,,['option2'],
47,"['option1', 'option2', 'option3']",['option1'],concap/train/0001837467,dirty dishes in the sink,concap/train,sink,['option4'],,,,['option2'],['option4'],,"['option1', 'option2']",,
48,['option1'],['option2'],concap/train/0001898382,young pretty dark - haired woman eating an apple and reading a book lying on the grass in a park .,concap/train,apple,,,,,['option2'],,,['option1'],,
49,,['option3'],concap/train/0001928711,person explores fork in the early morning light .,concap/train,fork,['option6'],,,,['option3'],,,,,
50,['option1'],['option1'],concap/train/0001979292,lovely couple lying on the couch and kissing each other at new home,concap/train,couch,['option4'],,,,['option1'],['option4'],,['option1'],,
51,,['option3'],concap/train/0001988990,coffee + homemade banana bread at this rustic cafe .,concap/train,banana,['option3'],,,,['option3'],['option3'],,,['option2'],
52,,['option3'],concap/train/0002030446,wild boar mother with small piglets on the dining table .,concap/train,dining table,['option2'],,,,['option3'],"['option2', 'option4']",,,,
53,,['option3'],concap/train/0002056297,tv personality is set to walk down the aisle in less than a month and she celebrated with a gorgeous bridal shower !,concap/train,tv,['option3'],,,,['option3'],"['option9', 'option3']",,,,
54,['option3'],['option1'],concap/train/0002128590,golden birthday ... celebrate with a cake !,concap/train,cake,,,,,['option1'],,,['option3'],,
55,['option3'],['option1'],concap/train/0002182166,"shoe and handbag close up by type of dish , via photo sharing website",concap/train,handbag,,,,,['option1'],,,['option3'],,
56,,['option3'],concap/train/0002237137,person did the giraffe and elephants cake pops - she sent me pics to choose from like this one,concap/train,cake,"['option9', 'option3']",,,,['option3'],"['option9', 'option3']",,,['option2'],
57,"['option1', 'option3']",['option2'],concap/train/0002246015,image result for red horse of the apocalypse,concap/train,horse,,,,,['option1'],,,['option3'],,
58,,['option3'],concap/train/0002263531,this is how i imagine person being pulled by a person drawn carriage .,concap/train,person,"['option9', 'option5']",,['substitution'],,['option3'],"['option9', 'option2']",,,,
59,['option3'],['option1'],concap/train/0002282609,witch cute and black cat ride on the swinging vector art illustration,concap/train,cat,,,,,['option1'],,,['option3'],,
60,"['option1', 'option3']",['option4'],concap/train/0002331712,"little garden on the balcony : the family 's favorite spot , featuring a bench with planters set at different levels .",concap/train,bench,,,,,['option1'],,,"['option1', 'option3']",,
61,"['option1', 'option3']",['option2'],concap/train/0002359959,professional boxer and actor holding rifles while standing in a boat at sea in a scene from the film,concap/train,boat,"['option9', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
62,,['option3'],concap/train/0002369051,i like the pop of orange plates and colorful flowers on these tables,concap/train,orange,['option6'],,,,['option3'],['option6'],,,,
63,"['option2', 'option3']",['option2'],concap/train/0002430046,migration on the computer keyboard,concap/train,keyboard,['option4'],,,,['option2'],"['option3', 'option4']",,['option1'],,
64,,['option3'],concap/train/0002444933,"under the refrigerator , next to the door .",concap/train,refrigerator,"['option9', 'option4']","['option1', 'option2']",,,['option3'],['option4'],,,['option1'],
65,['option3'],['option1'],concap/train/0002469485,brand chopped and dropped custom car at a car show .,concap/train,car,,,,,['option1'],,,['option3'],,
66,,['option3'],concap/train/0002480183,football player poses during the official fifa world cup portrait session .,concap/train,cup,"['option3', 'option4', 'option6', 'option7']",,,,['option3'],"['option9', 'option4', 'option6']",,,,
67,,['option3'],concap/train/0002504134,the point of view of someone riding a bicycle on the street of a residential neighborhood .,concap/train,bicycle,['option9'],,,,['option3'],"['option9', 'option4']",,,"['option1', 'option2']",
68,['option3'],['option1'],concap/train/0002522290,happy national dog day annually !,concap/train,dog,"['option3', 'option7']",,,,['option1'],['option3'],,['option3'],,
69,"['option1', 'option2', 'option3']",['option2'],concap/train/0002529814,bus runs on the highway at sunset,concap/train,bus,,['option1'],,,['option2'],,,"['option1', 'option2']",,
70,['option1'],['option2'],concap/train/0002533077,helmet and glasses resting on a luxury convertible sports car,concap/train,car,['option4'],,,,['option2'],['option4'],,"['option1', 'option2', 'option3']",,
71,,['option3'],concap/train/0002542124,funny groom underwater in a bird cage,concap/train,bird,"['option3', 'option4']",['option1'],,,['option3'],"['option3', 'option4']",,,['option1'],
72,,['option3'],concap/train/0002589517,my horse can read me like a book !,concap/train,book,"['option9', 'option2']",,,,['option3'],['option2'],,,,
73,"['option1', 'option3']",['option2'],concap/train/0002699041,young woman sitting in an abandoned retro car,concap/train,car,"['option3', 'option4']",,,,['option1'],['option4'],,['option3'],,
74,,['option1'],concap/train/0002699068,tv personality signs copies of her book .,concap/train,tv,,,,,['option3'],"['option9', 'option3']",,,['option1'],
75,,['option3'],concap/train/0002723223,pop artist appears onstage during music video tv program,concap/train,tv,"['option3', 'option4']",['option1'],,,['option3'],"['option9', 'option3', 'option4']",,,,
76,,['option3'],concap/train/0002724874,gilded nuts and fruit nestled in a wooden bowl .,concap/train,bowl,"['option3', 'option4']",,,,['option2'],['option4'],,"['option1', 'option2']",,
77,,['option3'],concap/train/0002730703,the strictly star beamed as she took to the train track for the premiere,concap/train,train,"['option3', 'option4']",['option1'],,,['option3'],['option3'],,,,
78,,['option3'],concap/train/0002731113,"long skirt with floral print with a strict black turtleneck , orange belt and rigid clutch",concap/train,orange,['option6'],,,,['option3'],['option6'],,,,
79,,['option3'],concap/train/0002744863,"a baguette topped with tuna , orange bell peppers and lettuce",concap/train,orange,['option6'],['option1'],,,['option3'],['option6'],,,['option2'],
80,,['option3'],concap/train/0002749185,wild : animal manages to transform from an orange colour around its tail to a bright blue head,concap/train,orange,['option6'],,,,['option3'],['option6'],,,,
81,,['option3'],concap/train/0002762803,"person likes this one , but i i 'd have to make the bottom zebra and the top the pink with dots :)",concap/train,zebra,"['option9', 'option2']",,,,['option3'],"['option2', 'option6']",,,,
82,['option3'],['option1'],concap/train/0002834968,"funny cute hot dog with a smile , eyes and hands .",concap/train,hot dog,,,,,['option1'],,,['option3'],,
83,"['option2', 'option3']",['option1'],concap/train/0002846898,a train crosses the main bridge over tourist attraction towards the centre,concap/train,train,,,,,['option1'],,,['option3'],,
84,,['option3'],concap/train/0002882577,how to fold a suit & shirt in a suitcase,concap/train,suitcase,"['option9', 'option4']",['option1'],,,['option3'],"['option9', 'option4']",,,"['option1', 'option2']",
85,,['option3'],concap/train/0002891875,person is a ceramic artist and she specialises in making tableware inspired with 50s and 60s,concap/train,person,"['option9', 'option5']",,['substitution'],,['option3'],['option9'],,,,
86,,['option3'],concap/train/0002925264,what book is this illustration from ?,concap/train,book,['option9'],,,,['option3'],['option9'],,,['option1'],
87,['option3'],['option1'],concap/train/0003007112,lungs of the dog medical veterinary vector illustration vector,concap/train,dog,,,,,['option1'],['option4'],,['option3'],,
88,['option3'],['option1'],concap/train/0003041630,photo of a food truck,concap/train,truck,['option3'],,,,['option1'],['option3'],,['option3'],,
89,,['option3'],concap/train/0003052249,"brackets - week was slow going , but we painted the bracket for the shelves over the toilet",concap/train,toilet,"['option9', 'option4']",['option1'],,,['option3'],['option4'],,,['option1'],
90,,['option3'],concap/train/0003071424,person like this look of trim darker then walls .,concap/train,person,['option9'],,,,['option3'],['option9'],,,['option1'],
91,,['option3'],concap/train/0003129807,"bird by person , on view starting friday .",concap/train,bird,"['option4', 'option5']",,['substitution'],,['option3'],"['option9', 'option4']",,,,
92,['option3'],['option1'],concap/train/0003144767,"and because i really do love the hammered metal sink that much , here 's a close up !",concap/train,sink,,,,,['option1'],,,,,
93,,['option3'],concap/train/0003162769,the wall of a car park !,concap/train,car,['option3'],,,,['option3'],['option3'],,,['option1'],
94,,['option3'],concap/train/0003212221,a red car with the tank on the back roaming around the park in the city,concap/train,car,['option5'],['option2'],['wrong word'],,['option3'],,,,['option2'],
95,"['option1', 'option2']",['option2'],concap/train/0003241159,a young boy in a very full car on the day we moved house,concap/train,car,['option4'],['option1'],,,['option2'],['option4'],,"['option1', 'option2']",,
96,,['option3'],concap/train/0003276387,person perfume - a new fragrance for women,concap/train,person,"['option7', 'option5']",,['substitution'],,['option3'],['option9'],,,,
97,['option3'],['option1'],concap/train/0003284531,spoon of medication in front of a black background,concap/train,spoon,,,,,['option1'],,,['option3'],,
98,['option3'],['option1'],concap/train/0003303435,acrylic illustration of the funny mouse on the skateboard,concap/train,mouse,,,,,['option1'],,,['option3'],,
99,,['option3'],concap/train/0003312882,show : i 'm tv character an angel of the lord,concap/train,tv,['option5'],,['misaligned'],,['option3'],"['option9', 'option3']",,,,
100,,['option3'],redcaps/abandonedporn/1ungi3,"teddy bear lying in a field of trash near abandoned factories in worcestor, ma",redcaps,teddy bear,,['option2'],"['wrong word used, meant stuffed animal']",,['option1'],,,['option3'],,
101,,['option1'],redcaps/alltheanimals/g5jn54,a spry young polar bear,redcaps,bear,,,,,['option1'],,,['option3'],,['jumping']
102,,['option3'],redcaps/backyardchickens/igppo1,"on sunday, our dorking laid her first egg. today, i found the egg wrapped in a washcloth in the bottom drawer of the refrigerator, because my 4 yr old daughter wants ""the egg to stay warm."" sigh. we may never eat this egg.",redcaps,refrigerator,"['option1', 'option9']",,,,['option3'],"['option1', 'option9']",['text goes beyond what the image shows'],,,
103,,['option3'],redcaps/baking/hj7h7u,my first three-layer pound cake ,redcaps,cake,['option3'],['option1'],,,['option1'],,,"['option3', 'option4']",,['sliced']
104,,['option3'],redcaps/baking/hks738,not as pretty as others and cheated with premade items but i'm still rusty and wanted to see if i still could bake a simple apple pie.,redcaps,apple,['option3'],,,,['option2'],['option3'],,['option2'],['option1'],
105,,['option3'],redcaps/baking/ilk6kw,tie dye cuppycakes!,redcaps,tie,"['option3', 'option6']",,,,['option3'],"['option3', 'option6']",,,,
106,,['option3'],redcaps/ballpython/jhxt5t,my new orange ghost banana boy...still can't think of a name for him,redcaps,orange,['option6'],,,,['option3'],"['option3', 'option6']",,,,
107,,['option3'],redcaps/battlestations/f40oz5,my portable battle station for work travel. all fits into one backpack and one monitor case.,redcaps,backpack,['option9'],['option1'],,,['option3'],['option9'],,,,
108,,['option3'],redcaps/bbq/fwjdii,brisket and apple crown royal,redcaps,apple,['option6'],,,,['option3'],['option3'],,,,
109,,['option3'],redcaps/beerporn/1zdiym,banana for scale.,redcaps,banana,"['option6', 'option7']",,,,['option3'],"['option7', 'option5']",['humor'],,,
110,,['option3'],redcaps/bordercollie/9ma6x3,"frankie would like the frisbee, please",redcaps,frisbee,['option9'],['option1'],,,['option3'],['option9'],,,,
111,['option3'],['option1'],redcaps/bordercollie/b0fse4,when frisbee is life,redcaps,frisbee,,,,,['option1'],,,['option3'],,
112,,['option3'],redcaps/breadit/k5huan,this is the first loaf i've ever seriously been proud of! pane francese from america's test kitchen's book bread illustrated,redcaps,book,['option9'],,,,['option3'],['option9'],,,,
113,['option3'],['option1'],redcaps/brochet/clhyr9,an elephant i made for my husband's grandma as a thank you gift.,redcaps,elephant,,,,,['option1'],,,['option3'],,
114,,['option3'],redcaps/carporn/cdjgja,hopefully i didn't miss the purple car train. here's my 1965 mustang,redcaps,train,"['option2', 'option3', 'option6']",['option2'],,,['option3'],['option6'],,,,
115,,['option3'],redcaps/castiron/eh1hoh,making pizza in a dutch oven in the fire. came out great!,redcaps,pizza,,,,,['option3'],['option9'],,,['option1'],
116,"['option1', 'option3']",['option1'],redcaps/castiron/ih2j2m,first chocolate cake i made with my daughter. happy dad - happy kid,redcaps,cake,,['option1'],,,['option1'],,,['option3'],,
117,,['option3'],redcaps/cats/7y2e9m,"silly human this is not a laptop bag, this is a bed!",redcaps,bed,"['option9', 'option2']","['option1', 'option2']",,,['option2'],"['option2', 'option5']",['present category can be used as VAEL (laptop bag can be used as a bed)'],,,
118,,['option3'],redcaps/cats/ajkhny,he sits on top of her and then does this. little spoon for sure.,redcaps,spoon,['option6'],,,,['option3'],"['option2', 'option6']",,,,
119,,['option3'],redcaps/cats/dr46rv,kids made cat face with shadows,redcaps,cat,"['option9', 'option3']",,,,['option3'],"['option2', 'option3']",,,,
120,['option1'],['option2'],redcaps/cats/dtmyil,i put his bed in front of the heat vent. i think he is pleased.,redcaps,bed,['option1'],['option1'],,,['option2'],,,['option3'],['option2'],
121,,['option1'],redcaps/cockatiel/3to66h,"so charlie, i made a nice breakfast of sprouts and broccoli for you. what do you mean you would prefer my boiled egg?",redcaps,broccoli,,,,,['option2'],,,['option2'],,
122,,['option1'],redcaps/crafts/215eye,busy book #2,redcaps,book,,,,,['option1'],,,['option3'],,
123,['option3'],['option1'],redcaps/crochet/2xnxdw,bump the elephant,redcaps,elephant,,,,,['option1'],,,['option3'],,
124,,['option3'],redcaps/crystals/flnsp6,i found this rick walking i think someone dropped it anyone know what it might be ? if i hit it hard enough with a knife it sparks,redcaps,knife,['option9'],,,,['option3'],['option9'],,,,
125,,['option3'],redcaps/desertporn/f83fjp,overlooking horse shoe bend,redcaps,horse,['option7'],['option1'],,,['option3'],"['option3', 'option7']",,,,
126,,['option3'],redcaps/diy/7v96mu,platform bed & headboard - weekend project with the mrs. not bad for a psych nurse & an edtech! $300 in lumber and 12 hours later...,redcaps,bed,['option3'],['option1'],,,['option3'],"['option3', 'option6']",,,,
127,,['option1'],redcaps/dogpictures/wn5lq,"took my big, fluffy foster dog to the beach today.",redcaps,dog,,,,,['option1'],,,,,
128,['option1'],['option2'],redcaps/eyebleach/cf1h5w,little toe beans hiding in my patio bench tonight.,redcaps,bench,,,,,['option2'],,,['option2'],,
129,,['option3'],redcaps/fermentation/ipqi9j,banana slices in only some distilled water with a spoon full of lactobacillus culture from previous ferments has been the most active ferment i've ever seen. it's like a little bomb that i have to diffuse twice a day.,redcaps,spoon,"['option9', 'option6']",,,,['option3'],['option9'],,,,
130,['option1'],['option2'],redcaps/fishing/5olcp2,a day on the boat,redcaps,boat,['option4'],['option1'],,,['option2'],['option4'],,['option1'],['option1'],
131,,['option3'],redcaps/food/691njo,crab cake po-boy.,redcaps,cake,"['option2', 'option3', 'option6']",['option1'],,,['option3'],"['option3', 'option6']",,,['option2'],
132,,['option3'],redcaps/food/6xiran,cookies and cream ice cream in a cookie bowl...err cup,redcaps,cup,['option3'],['option1'],,,['option1'],,,"['option2', 'option3']",,
133,"['option1', 'option2']",['option2'],redcaps/food/9okevf,a strawberry banana nutella waffle,redcaps,banana,['option3'],,,,['option2'],['option3'],,['option3'],,
134,,['option3'],redcaps/food/fkx2iv,freshly fried donut balls/holes.,redcaps,donut,['option3'],['option2'],,,,"['option3', 'option6']",,,['option1'],
135,,['option3'],redcaps/food/u31xz,"some burgers i made. i call them sugar burgers the recipe is: 1 pound of lean beef, 3/4 cup of brown sugar, 3/4 of a package of saltine crackers, 3 tsp of ketchup and mustard. you mix the ingredients together separately then make them into patties. you then grill each side for 10 min.",redcaps,cup,['option6'],,,,['option3'],['option9'],['text describes content beyond the image'],,['option1'],
136,,['option3'],redcaps/foxes/bj4o7h,spotted this skinny guy on a remote highway during the summer!,redcaps,remote,['option6'],,,,['option3'],['option6'],,,,
137,,['option3'],redcaps/gardening/hayrhp,why am i not seeing any green bell peppers? my banana peppers in back we're planted at the same time.,redcaps,banana,['option3'],['option2'],,,['option3'],"['option3', 'option6', 'option7']",,,,
138,,['option3'],redcaps/hotpeppers/gkandp,first fruits have appeared on my banana pepper plants!,redcaps,banana,['option3'],['option2'],,,['option3'],"['option3', 'option7']",,,,
139,,['option3'],redcaps/interestingasfuck/8g7lpd,randy johnson is the oldest pitcher to pitch a perfect game and the only one who accidentally exploded a bird,redcaps,bird,['option9'],,,,['option3'],['option9'],,,,
140,,['option3'],redcaps/interiordesign/2mimw0,thoughts on this wall art i put together from belgium? made from old bus line signage.,redcaps,bus,['option3'],,,,['option3'],['option3'],,,,
141,,['option1'],redcaps/knives/10l5o9,first knife i made that i am proud of.,redcaps,knife,,,,,['option1'],,,,,
142,,['option3'],redcaps/labrador/ghen4f,riley just came home after finishing his 2 week board and train!,redcaps,train,['option6'],,,,['option3'],"['option9', 'option6']",,,,
143,,['option3'],redcaps/leathercraft/kdnpam,i made a leather shoe! i actually made two but the other one is waiting for the final finishing touches. it's a bison upper stitched to cow leather sole glued to a vibram sole. finished with buckskin stitching at the top and a black birch button to finish it all off.,redcaps,cow,['option3'],['option1'],,,['option1'],,,['option3'],,
144,,['option3'],redcaps/mead/3jkodg,blackberry blood orange melomel,redcaps,orange,['option6'],,,,['option1'],['option3'],,,,
145,"['option2', 'option3']",['option2'],redcaps/mildlyinteresting/1vjudh,my work gloves have mickey mouse inside.,redcaps,mouse,['option7'],,,,['option1'],['option7'],,['option3'],,
146,,['option1'],redcaps/mildlyinteresting/1w13uk,the cashier at starbucks asked for my friend's name. he told him marie-antoinette...the cashier wasn't sure how to spell it and so he decided to draw a guillotine on the paper cup.,redcaps,cup,,,,,['option1'],,,"['option2', 'option3']",,
147,,['option1'],redcaps/mildlyinteresting/62q34a,this bottle of soap has a ,redcaps,bottle,,,,,['option1'],['option6'],,,,
148,,['option3'],redcaps/mildlyinteresting/95gwto,the way you can see the apple logo through the screen on the macbook air,redcaps,apple,"['option3', 'option6', 'option7']",,,,['option3'],"['option6', 'option7']",,['option3'],,
149,"['option2', 'option3']",['option1'],redcaps/mildlyinteresting/aa3wmd,my sons book has a typo on the first page.,redcaps,book,,,,,['option1'],,,,,
150,['option3'],['option1'],redcaps/mildlyinteresting/c9jku4,this forgotten banana i just pulled out of a backpack i haven't used in a year.,redcaps,backpack,,,,,['option1'],"['option9', 'option4']",,,,
151,"['option1', 'option2']",['option4'],redcaps/mildlyinteresting/ct0k1y,these old water rings on my mom's dining table are a venn diagram,redcaps,dining table,,,,,['option4'],,,['option2'],,
152,,['option3'],redcaps/mildlyinteresting/ebnlgr,this tv mount bracket looks like a thwamp from super mario,redcaps,tv,['option3'],['option1'],,,['option3'],['option3'],,,,
153,,['option1'],redcaps/mildlyinteresting/ff1jz0,this clock displays the time on the sides,redcaps,clock,,,,,['option1'],,,['option3'],,
154,,['option3'],redcaps/mildlyinteresting/fh5qqd,the bottom of this pizza box,redcaps,pizza,['option3'],['option1'],,,['option3'],['option3'],,,['option1'],
155,"['option1', 'option2', 'option3']",['option2'],redcaps/mildlyinteresting/g5uu7j,this piece of a 7 up bottle from 1958 i found buried a foot deep in my back yard.,redcaps,bottle,,,,,['option2'],,,['option2'],,
156,,['option2'],redcaps/mildlyinteresting/i45w2s,the scar left in our dining table after i hit my face on it.,redcaps,dining table,['option9'],,,,['option2'],['option9'],,['option2'],,
157,,['option3'],redcaps/mildlyinteresting/jvf1em,"the view from pulpit rock, considered one of the scariest places on earth, although only one person ever has fallen over the edge.",redcaps,person,['option9'],,,,['option3'],['option9'],,,,
158,['option1'],['option2'],redcaps/pics/12b1na,i don't feel very safe behind this car,redcaps,car,"['option4', 'option5']","['option1', 'option2']","['used wrong word, behind truck']",,['option2'],,,"['option1', 'option3']",,
159,,['option3'],redcaps/pics/2bi5c1,one of my favorite cell phone pictures taken 6 years ago.,redcaps,cell phone,"['option9', 'option3']",,,,['option3'],['option5'],['text describes content beyond the image'],['option1'],,
160,['option3'],['option1'],redcaps/pics/2gbjcz,"a dog made out of wrenchs at a restaurant called ""lazy dog restaurant""",redcaps,dog,,,,,['option1'],,,['option3'],,
161,,['option3'],redcaps/pics/2tbqf6,apparently toilet gnomes are a thing.,redcaps,toilet,['option3'],['option1'],,,['option3'],['option3'],,,,
162,,['option3'],redcaps/pics/3xellw,meet princess monster truck,redcaps,truck,"['option2', 'option3', 'option7']",,,,['option3'],"['option2', 'option7']",,,,
163,,['option3'],redcaps/pics/4jyc89,local pizza place gives free moustache rides!,redcaps,pizza,['option3'],,,,['option3'],['option3'],,,,
164,['option1'],['option2'],redcaps/pics/4klosv,i saw a fire hydrant in a forest preserve,redcaps,fire hydrant,,,,,['option2'],,,"['option1', 'option2']",,
165,,['option3'],redcaps/pics/6vj6yh,"this little guy woke me up this morning flapping like crazy, managed to catch my cat in the background",redcaps,cat,,,,,['option3'],,,,,
